time_s,I_prompt,Q_prompt
0.301,-325.389271024484,-5671.03841356589
0.302,-609.579220689291,-5604.42449933159
0.303,-454.768501348279,-5700.97939243214
0.304,-518.121759285771,-5722.15777342479
0.305,-291.343003777124,-5782.96232124701
0.306,-524.83901785438,-5847.01288219968
0.307,-409.390622863174,-5849.65994558463
0.308,-413.623045224501,-5856.52610616763
0.309,-447.485925453184,-5952.76649365911
0.31,-252.951177729591,-6040.34229724547
0.311,-110.8125232085,-5988.82905785867
0.312,-1.41962728841457,-5967.86878498222
0.313,51.7290829500714,-5986.28107883741
0.314,-9.0695750876657,-5995.40422108481
0.315,-79.7377481894121,-5950.12489563025
0.316,161.909492395982,-6007.87046192316
0.317,-25.3135102540373,-6054.53144541671
0.318,195.781521485894,-6022.21037662447
0.319,239.01099113886,-6113.55139442435
0.32,55.2983568890945,-6096.67446808996
0.321,310.465867185404,-6181.29284984492
0.322,52.5191751602159,-6155.7852062648
0.323,233.003348875746,-6244.04664327297
0.324,163.871599350853,-6251.56086062735
0.325,453.169220537146,-6237.8227206155
0.326,212.864962815705,-6273.762288206
0.327,308.15911737953,-6221.60393713263
0.328,249.734435202137,-6220.64054820823
0.329,149.603661983665,-6335.95501862729
0.33,315.215505684303,-6420.52286776445
0.331,472.689486814061,-6358.17336274929
0.332,570.126233975544,-6327.52119507074
0.333,588.208087174135,-6333.69472815641
0.334,503.140094478389,-6375.81966164926
0.335,392.816332570182,-6305.01727773907
0.336,597.324090491306,-6364.66693340849
0.337,330.337678385925,-6442.62020553491
0.338,512.007800461356,-6408.68268950279
0.339,483.409171445814,-6520.15349330813
0.34,173.120975495344,-6524.46250104941
0.341,309.695622594245,-6618.60297119471
0.342,-60.6684863745898,-6582.70225015284
0.343,85.7873208185677,-6682.22057044066
0.344,-63.3769929842448,-6669.35196018981
0.345,180.133854745231,-6665.81259163077
0.346,-111.631454712096,-6715.73695846093
0.347,-24.4660800413924,-6670.27952959559
0.348,-125.751765666713,-6660.11788126982
0.349,-263.451785732897,-6782.61424182185
0.35,-116.46405157523,-6892.17036508943
0.351,-14.2931909114878,-6831.43534480537
0.352,46.5956381864264,-6819.85216134401
0.353,72.7409275595618,-6864.87050175836
0.354,-20.598219112674,-6900.61203959839
0.355,-134.169694103698,-6797.16107896676
0.356,77.741906764398,-6845.45696049134
0.357,-196.582484192335,-6884.6402716868
0.358,-11.41149334758,-6833.10768615905
0.359,-67.0209169997402,-6932.73103673517
0.36,-374.072651580682,-6928.01901500417
0.361,-193.425253898317,-7072.13529441175
0.362,-530.806592057263,-6969.75291771493
0.363,-313.272320609706,-7041.48175353654
0.364,-386.706211341333,-6994.86798372654
0.365,-55.4453674252535,-6984.41468817676
0.366,-276.376379708353,-7005.23786118693
0.367,-109.96305321954,-6944.54959006307
0.368,-145.239005476252,-6935.01284377359
0.369,-244.912963952612,-7035.44265704538
0.37,-49.7455529147042,-7143.20329835983
0.371,113.386516228154,-7049.25850785925
0.372,242.843509320388,-6976.42257547604
0.373,283.178834255739,-6951.13382507975
0.374,167.865433063196,-6942.99972190585
0.375,63.3348457734193,-6828.49317031018
0.376,324.609125874472,-6873.33343347332
0.377,119.784078105837,-6896.92563002866
0.378,398.154374419911,-6830.93819317867
0.379,406.06533439024,-6913.9237332689
0.38,115.009499218757,-6910.08690909667
0.381,296.190588778001,-7055.62179991273
0.382,-85.6027846250559,-6975.41727051065
0.383,60.3718794586205,-7060.43959494848
0.384,-106.073274123243,-7013.46203312088
0.385,197.72450786956,-7011.52381952938
0.386,-16.9596778361108,-7104.12592008588
0.387,168.570309032212,-7070.64026234469
0.388,136.454897111764,-7080.71116923494
0.389,7.55975559610211,-7209.36663367409
0.39,170.054972536156,-7317.22439699377
0.391,305.460491332311,-7208.28777686789
0.392,396.741001392782,-7146.40793987775
0.393,429.640863127329,-7124.03620421354
0.394,347.17617558069,-7121.86888426678
0.395,302.236676926809,-7018.3494428148
0.396,616.849905499376,-7057.59679785993
0.397,405.310021388955,-7076.44147582385
0.398,644.426941710849,-6983.71155773954
0.399,594.110492638759,-7041.19998907106
0.4,261.951613975571,-6993.74924903936
0.401,390.662140736084,-7042.76093967629
0.402,-63.5470825305117,-6878.64212485478
0.403,68.4134713503326,-6886.40804144052
0.404,-70.8897822418366,-6803.99366738886
0.405,228.478823232146,-6758.16817732757
0.406,24.616242600546,-6806.11443824622
0.407,191.798385751097,-6730.83806483513
0.408,159.504964433488,-6710.00692210044
0.409,38.2413333046529,-6789.44531044113
0.41,173.936576933112,-6859.17411989921
0.411,253.81083185201,-6749.1380676968
0.412,307.239113500756,-6692.88178950118
0.413,266.55336265528,-6681.95284082622
0.414,104.556128502581,-6683.07382459821
0.415,-49.4840921053814,-6557.56281691808
0.416,150.605127602037,-6583.45881815263
0.417,-146.667210301348,-6585.53205478999
0.418,-6.66178685082285,-6530.29695222434
0.419,-100.057796143201,-6571.01102645095
0.42,-439.74177650802,-6483.88116330599
0.421,-337.808886385552,-6563.93173334165
0.422,-725.848415469813,-6462.48651337803
0.423,-590.13220702453,-6561.00139344255
0.424,-738.203273168239,-6574.97737797981
0.425,-479.262564650308,-6648.86958242626
0.426,-747.148402809891,-6700.37944058304
0.427,-632.689258236279,-6702.2949614155
0.428,-678.712229912034,-6711.13152895107
0.429,-808.376124252581,-6850.30388605252
0.43,-654.636681191691,-7005.10144007804
0.431,-504.815782417793,-6974.05611248154
0.432,-424.749495274216,-6970.18598916714
0.433,-407.532546496781,-7016.97728569642
0.434,-500.198664540721,-7036.41810042166
0.435,-531.98439388247,-6905.57034796736
0.436,-214.153992527655,-6968.33585102598
0.437,-402.533112152176,-7013.98285486601
0.438,-102.761035630076,-6968.83260199905
0.439,-57.2836143298045,-7024.93048758894
0.44,-304.637223206373,-6952.91234925407
0.441,-106.084186586649,-7056.47419500951
0.442,-450.284158688543,-6975.72439601702
0.443,-252.408205978486,-7067.94972760078
0.444,-323.693398727606,-7059.70155962698
0.445,54.507173184307,-7053.76226003187
0.446,-128.348934736034,-7093.1236248377
0.447,89.2273359945683,-7027.71505366782
0.448,82.268939947022,-7016.16531113794
0.449,-2.93847126769598,-7130.96437935541
0.45,220.170530813392,-7189.95434581815
0.451,415.202020299032,-7066.91651447854
0.452,579.248643324244,-7029.9589795117
0.453,671.548744308066,-7094.53452008618
0.454,568.697226094171,-7162.71567889681
0.455,493.598936124974,-7076.40749982482
0.456,832.840028166429,-7097.26191068268
0.457,613.871209458491,-7135.66750810704
0.458,835.283660071874,-7016.98430404943
0.459,829.065459072821,-7070.00266522381
0.46,550.991859392785,-7017.16235757645
0.461,754.760141069797,-7085.28212152403
0.462,379.647478529397,-7024.45687950253
0.463,558.252041068664,-7051.22185504588
0.464,449.066983565869,-6996.19389427928
0.465,742.963204819479,-6908.29277019112
0.466,487.828684913925,-6936.73134154289
0.467,614.446433147105,-6874.48428175587
0.468,539.571804911969,-6833.91728510355
0.469,411.596809262386,-6902.82280328333
0.47,587.480716481367,-6955.42073240616
0.471,691.97791864523,-6858.74565221846
0.472,760.774612423358,-6781.472279128
0.473,758.436952256286,-6775.81177895131
